asset_id,logical_name,scientific_stage,asset_type,absolute_path,relative_repo_path,exists,size_bytes,file_count,sha256,formal_or_development,used_by,canonical_source,duplicate_group,proposed_upload_class,reason,notes,shared_asset,development_benchmark,untouched_final_confirmation
asset_0001,FNO_KERR_CURRENT_STATE.md,Plan_A,research_record,/home/shanjinshuo/fno_kerr/kerr_project/FNO_KERR_CURRENT_STATE.md,FNO_KERR_CURRENT_STATE.md,True,138412,1,de33904f76a3060443913a1b75c857143525a96e007489fc5174ed21c27b0f64,Git/code-derived,"[""A0"", ""R0"", ""M1"", ""M2"", ""M3"", ""M4a"", ""M4b"", ""original_design_audit"", ""R1"", ""R2"", ""R3""]",/home/shanjinshuo/fno_kerr/kerr_project/FNO_KERR_CURRENT_STATE.md,,INDEX_ONLY,Reference the Git-tracked source or scientific record at the recorded commit; do not duplicate source into the external data package.,[],False,False,False
asset_0002,FNO_KERR_EXPERIMENT_PLAN.md,Plan_A,research_record,/home/shanjinshuo/fno_kerr/kerr_project/FNO_KERR_EXPERIMENT_PLAN.md,FNO_KERR_EXPERIMENT_PLAN.md,True,37018,1,a87bb1ce7b3ecd880e50efd7db17d8112a7ef888d145636919b8d1e6ee42577c,Git/code-derived,"[""A0"", ""R0"", ""M1"", ""M2"", ""M3"", ""M4a"", ""M4b"", ""original_design_audit"", ""R1"", ""R2"", ""R3""]",/home/shanjinshuo/fno_kerr/kerr_project/FNO_KERR_EXPERIMENT_PLAN.md,,INDEX_ONLY,Reference the Git-tracked source or scientific record at the recorded commit; do not duplicate source into the external data package.,[],False,False,False
asset_0003,FNO_KERR_REASONING_LOG.md,Plan_A,research_record,/home/shanjinshuo/fno_kerr/kerr_project/FNO_KERR_REASONING_LOG.md,FNO_KERR_REASONING_LOG.md,True,96733,1,2077b626d5744b6a08b1ccabe0ea6baf61d826fa3ee9626ef30ce0cea4e84692,Git/code-derived,"[""A0"", ""R0"", ""M1"", ""M2"", ""M3"", ""M4a"", ""M4b"", ""original_design_audit"", ""R1"", ""R2"", ""R3""]",/home/shanjinshuo/fno_kerr/kerr_project/FNO_KERR_REASONING_LOG.md,,INDEX_ONLY,Reference the Git-tracked source or scientific record at the recorded commit; do not duplicate source into the external data package.,[],False,False,False
asset_0004,SERVER_DATA_EXPERIMENT_REGISTRY.md,Plan_A,research_record,/home/shanjinshuo/fno_kerr/kerr_project/SERVER_DATA_EXPERIMENT_REGISTRY.md,SERVER_DATA_EXPERIMENT_REGISTRY.md,True,62945,1,7366056603c4a2a52edb69445f9ff3052c6f91cf99c79529dd7040f77d13703b,Git/code-derived,"[""A0"", ""R0"", ""M1"", ""M2"", ""M3"", ""M4a"", ""M4b"", ""original_design_audit"", ""R1"", ""R2"", ""R3""]",/home/shanjinshuo/fno_kerr/kerr_project/SERVER_DATA_EXPERIMENT_REGISTRY.md,,INDEX_ONLY,Reference the Git-tracked source or scientific record at the recorded commit; do not duplicate source into the external data package.,[],False,False,False
asset_0005,data/tasks/q_1p6-3_n2000_t1200/dataset.npz,shared,dataset_payload,/home/shanjinshuo/fno_kerr/kerr_project/data/tasks/q_1p6-3_n2000_t1200/dataset.npz,data/tasks/q_1p6-3_n2000_t1200/dataset.npz,True,55679506,1,3e0358831e6b96c38f15c8e3178f6d37f38b4bddbe1ab01a63cfaba043f211ce,formal_source,"[""R0"", ""R1"", ""R2"", ""R3"", ""R1_validation_length_response"", ""R3_validation_length_response""]",/home/shanjinshuo/fno_kerr/kerr_project/data/tasks/q_1p6-3_n2000_t1200/dataset.npz,,MUST_UPLOAD,Authoritative raw truth or original training/validation split needed for independent analysis and provenance.,[],True,False,False
asset_0006,data/tasks/q_1p6-3_n2000_t1200/failed_samples.json,shared,dataset_provenance,/home/shanjinshuo/fno_kerr/kerr_project/data/tasks/q_1p6-3_n2000_t1200/failed_samples.json,data/tasks/q_1p6-3_n2000_t1200/failed_samples.json,True,2,1,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,formal_source,"[""R0"", ""R1"", ""R2"", ""R3"", ""R1_validation_length_response"", ""R3_validation_length_response""]",/home/shanjinshuo/fno_kerr/kerr_project/data/tasks/q_1p6-3_n2000_t1200/failed_samples.json,duplicate_001,MUST_UPLOAD,Authoritative raw truth or original training/validation split needed for independent analysis and provenance.,[],True,False,False
asset_0007,data/tasks/q_1p6-3_n2000_t1200/meta.json,shared,dataset_provenance,/home/shanjinshuo/fno_kerr/kerr_project/data/tasks/q_1p6-3_n2000_t1200/meta.json,data/tasks/q_1p6-3_n2000_t1200/meta.json,True,2260,1,459f8024f66db1abfe95d732b1cc9c90132c7bcc29d6425e25bbf32143fd6338,formal_source,"[""R0"", ""R1"", ""R2"", ""R3"", ""R1_validation_length_response"", ""R3_validation_length_response""]",/home/shanjinshuo/fno_kerr/kerr_project/data/tasks/q_1p6-3_n2000_t1200/meta.json,,MUST_UPLOAD,Authoritative raw truth or original training/validation split needed for independent analysis and provenance.,[],True,False,False
asset_0008,data/tasks/q_1p6007-2p9993_n400_t1200/dataset.npz,shared,dataset_payload,/home/shanjinshuo/fno_kerr/kerr_project/data/tasks/q_1p6007-2p9993_n400_t1200/dataset.npz,data/tasks/q_1p6007-2p9993_n400_t1200/dataset.npz,True,11139587,1,39c7b1ce9624123a5f2680d76abe8a7fa18e135ec166fa70262efb8d563c60db,formal_source,"[""A0"", ""R0"", ""M2"", ""M3"", ""M4a"", ""M4b"", ""R1"", ""R2"", ""R3""]",/home/shanjinshuo/fno_kerr/kerr_project/data/tasks/q_1p6007-2p9993_n400_t1200/dataset.npz,,MUST_UPLOAD,Authoritative raw truth or original training/validation split needed for independent analysis and provenance.,[],True,False,False
asset_0009,data/tasks/q_1p6007-2p9993_n400_t1200/failed_samples.json,shared,dataset_provenance,/home/shanjinshuo/fno_kerr/kerr_project/data/tasks/q_1p6007-2p9993_n400_t1200/failed_samples.json,data/tasks/q_1p6007-2p9993_n400_t1200/failed_samples.json,True,2,1,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,formal_source,"[""A0"", ""R0"", ""M2"", ""M3"", ""M4a"", ""M4b"", ""R1"", ""R2"", ""R3""]",/home/shanjinshuo/fno_kerr/kerr_project/data/tasks/q_1p6-3_n2000_t1200/failed_samples.json,duplicate_001,DO_NOT_UPLOAD,Byte-identical file verified by size and SHA256; reference the canonical file once. Preserve all server copies.,[],True,False,False
asset_0010,data/tasks/q_1p6007-2p9993_n400_t1200/meta.json,shared,dataset_provenance,/home/shanjinshuo/fno_kerr/kerr_project/data/tasks/q_1p6007-2p9993_n400_t1200/meta.json,data/tasks/q_1p6007-2p9993_n400_t1200/meta.json,True,2278,1,fbe816012a245c4cadf132de8cae5f042f8f796677e89b91af33b1fb377702d8,formal_source,"[""A0"", ""R0"", ""M2"", ""M3"", ""M4a"", ""M4b"", ""R1"", ""R2"", ""R3""]",/home/shanjinshuo/fno_kerr/kerr_project/data/tasks/q_1p6007-2p9993_n400_t1200/meta.json,,MUST_UPLOAD,Authoritative raw truth or original training/validation split needed for independent analysis and provenance.,[],True,False,False
asset_0011,data/tasks/q_1p6007-2p9993_n400_t1800/dataset.npz,shared,dataset_payload,/home/shanjinshuo/fno_kerr/kerr_project/data/tasks/q_1p6007-2p9993_n400_t1800/dataset.npz,data/tasks/q_1p6007-2p9993_n400_t1800/dataset.npz,True,16719729,1,87e17ecef62761756189b9325a375f38f982b094a5aed73083ba6bc80f5615d7,formal_source,"[""A0"", ""R0"", ""M2"", ""M3"", ""M4a"", ""M4b"", ""R1"", ""R2"", ""R3""]",/home/shanjinshuo/fno_kerr/kerr_project/data/tasks/q_1p6007-2p9993_n400_t1800/dataset.npz,,MUST_UPLOAD,Authoritative raw truth or original training/validation split needed for independent analysis and provenance.,[],False,False,False
